Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,co2,debt,pm2.5,secondary_school,high_school,total_tax
Maldives,75.4,warning,5.8,8,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4,3.59,3.96,1.39,5.14,5.16,3.12
Venezuela,75.3,warning,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9,4.59,4.5,4.7,5.14,5.16,4.71
Thailand,75.1,warning,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6,4.69,4.56,5.31,4.91,3.52,2.91
Sao Tome and Principe,74.6,warning,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3,2.33,3.96,4.52,2.37,5.16,4.33
Serbia,74.4,warning,6.5,8,8,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7,5.95,4.11,4.47,6.76,2.64,3.27
Morocco,74.3,warning,6.3,6.6,6.5,5.3,6.9,7,6.7,5.9,6.6,5.8,5.9,4.9,2.97,4.13,4.88,5.14,7.5,6.09
Cape Verde,73.7,warning,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2,4.59,4.5,4.7,5.14,5.16,4.71
Dominican Republic,73.2,warning,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9,3.17,4.06,2.08,4.49,5.16,5.23
El Salvador,73.2,warning,6.4,4.3,5.7,6.5,7,6.9,5.9,6.5,6.1,7.4,5.5,5.1,2.54,4.02,5.22,4.23,6.72,4.46
Mexico,73.1,warning,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4,6.1,4.41,5.75,4.03,5.87,6.58,6.54
Vietnam,73.1,warning,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6,2.89,4.24,6.55,5.14,7.19,4.79
Gabon,72.9,warning,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7,6.8,6.8,5.6,5.4,3.69,3.98,7.32,5.14,5.16,5.34
Micronesia,72.9,warning,5.4,5.6,4.2,7.5,8,8.4,6.3,6.3,3.1,7.1,3.1,7.9,4.59,4.5,4.7,5.14,5.16,4.71
Cuba,72.8,warning,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7,3.78,4.5,3.47,6.47,3.67,4.71
Saudi Arabia,72.7,warning,7.2,8,7.4,3.6,6.4,3.1,7.8,4,8.9,5.5,5.2,5.6,9.88,4.5,9.99,8.85,3.22,1.29
Peru,72.3,warning,7,6.7,7,4.1,7.8,6.1,7.1,6.4,5,5.9,4.7,4.5,3.04,4.23,4.99,7.23,5.16,4.23
Paraguay,71.8,warning,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2,2.46,4.03,1.7,5.14,5.16,3.85
Armenia,71.3,warning,5.3,7,5.7,5.9,5.6,6,6.6,4.4,6.8,4.9,7,6.2,3.06,4,6.14,5.52,4.13,3.99
Suriname,71.2,warning,5.8,5.8,6.1,7.1,7,7.6,6.1,5.3,5.4,5.7,3,6.3,4.1,4.5,4.78,3.76,5.16,2.79
Guyana,70.8,warning,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6,4.4,5.8,3.8,5.9,3.46,3.97,3.9,5.14,5.16,3.39
Namibia,70.4,warning,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5,2.62,4.5,4.39,5.14,5.16,1.95
Kazakhstan,69.8,warning,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3,9.65,4.61,1.95,7.74,3.53,2.93
Ghana,69.1,warning,3.8,5,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6,2.31,4.03,4.56,2.94,8.42,3.49
Samoa,68.7,warning,5.5,5.1,4.8,5.9,6,8.8,6,4.8,4.5,6.8,2.5,8,2.56,3.96,1.77,5.14,5.16,1.64
Macedonia,68,warning,6,7,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6,4.59,4.5,4.7,5.14,5.16,4.71
South Africa,67.6,warning,5.1,5.6,5.7,5.9,8,4.3,5.3,6.3,4.2,7.8,6.5,2.9,7.43,4.57,4.31,5.14,7.79,2.91
Belize,67.2,warning,5.5,4.3,4.4,5.5,6.6,7.1,6,6,4.1,6.5,4.9,6.3,2.82,3.96,4.44,4.64,7.3,3.25
Cyprus,67,warning,5,7.9,7.3,5.8,7,4.8,5.5,3,3.3,4,4.4,9,5.23,4.5,2.65,7.28,3.86,2.03
Malaysia,66.1,warning,6,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4,7.02,4.5,2.45,4.75,5.47,4.51
Ukraine,65.9,warning,4.4,8,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2,5.76,4.6,3.2,7.12,0.59,6.94
Jamaica,65.6,warning,6.3,3.7,4,6.6,5.9,7.2,6.1,5.7,5,5.6,3.4,6.3,3.65,4.01,2.01,4.93,6.91,5.72
Albania,65.2,warning,5.5,6.3,4.8,5.3,4.8,6.6,7,4.8,6,4.7,3.1,6.3,2.97,4,2.89,6.95,1.39,4.71
Grenada,64.6,warning,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7,3.67,3.96,4.12,7.65,5.16,5.52
Botswana,64,warning,3.5,3.3,4.8,6.1,7.5,5,4.4,6,4.4,8.3,5.8,4.8,3.4,3.97,3.91,5.14,5.16,2.44
Seychelles,64,warning,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9,4.74,4.5,3.09,5.33,9.21,2.47
Brunei Darussalam,63.2,warning,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1,9.93,4.5,0.96,7.99,7.3,1.39
Bahrain,62.9,warning,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6,9.99,4.5,9.84,7.07,5.08,1.19
Trinidad and Tobago,62.6,warning,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3,4.2,10,4.5,4.41,5.14,5.16,3.31
Brazil,62.1,warning,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7,3.6,3.3,3.42,6.08,1.96,7.74,3.97,8.39
Kuwait,59.6,stable,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4,10,4.5,9.68,6.77,6.13,1.11
Antigua and Barbuda,58,stable,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4,4.4,4.6,3,5.8,5.34,4.5,3.04,5.14,5.16,4.8
Mongolia,57.8,stable,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5,9.3,4.04,7.6,5.14,1.96,2.38
Romania,57.4,stable,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6,4.11,4.5,2.08,6.86,3.86,5.18
Panama,55.8,stable,5.1,2.5,5,3.8,7.9,4.5,4.7,5,4.4,5.9,3.7,3.3,3.62,4.5,1.77,3.9,5.16,4.17
Bulgaria,55,stable,4.7,5.3,4.6,5,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5,5.4,4.18,3.1,7.67,1.76,2.67
Bahamas,54.7,stable,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3,4.59,4.5,4.7,5.14,5.16,4.71
Montenegro,54.4,stable,4.6,6.2,6.5,4.6,3.5,3,4.2,3.6,4.4,3.9,4.5,5.3,4.16,3.97,3.56,5.14,5.16,2.02
Croatia,54.1,stable,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5,4.5,4.5,2.82,7.44,1.65,1.74
Oman,52,stable,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5,2,2.4,9.77,4.5,7.38,7.46,6.44,2.16
Barbados,50.8,stable,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5,5.18,4.5,4.2,5.14,5.16,3.79
Greece,50.6,stable,3.9,3,4.8,6.4,4.3,4.4,5.4,3.9,3,4.3,2,5.1,6,4.5,2.49,7.75,0.03,5.31
Costa Rica,48.7,stable,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9,2.89,4.03,2.59,8.92,3.5,7.46
Latvia,47.9,stable,3.3,4.3,5.4,4,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8,4.09,4.5,2,8.93,1.31,3.85
Hungary,47.6,stable,2.3,4.8,4.1,6,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8,4.59,4.5,2.39,8.03,2.56,6.15
United Arab Emirates,47.3,stable,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5,9.92,4.5,7.1,5.14,5.16,1.3
Qatar,47.1,stable,2.5,5,4.9,2.9,4.8,3.1,5.9,2,5.6,4.3,2.1,4,10,4.5,10,4.15,8.6,1.02
Argentina,46.1,stable,3,2.7,5,4,6,3,4.4,3.9,4.1,4.1,2,3.8,4.73,4.5,2.11,8.2,0.61,9.99
Estonia,45.3,stable,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3,2.4,3.5,3.3,3.3,9.6,4.5,1.04,8.37,0.96,6.23
Slovak Republic,45.3,stable,2.3,3.7,5,5.2,4.6,4.5,4.3,3.5,3,3.2,2,3.9,5.85,4.5,2.77,6.25,2.9,6.07
Italy,44.6,stable,5,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2,5.59,4.5,2.48,7.79,1.81,8.33
Mauritius,44.5,stable,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6,3.9,4.01,2.11,6.99,5,2.23
Spain,44.4,stable,4.1,6,5.8,5.5,4.1,3,3.3,3.3,2.2,2.8,2.3,2,5.15,4.5,1.41,9.68,0.35,7.29
Lithuania,43,stable,2.5,3,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2,4.6,4.5,1.71,8.46,0.98,5.13
Malta,42.4,stable,3.7,2,4,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8,5.43,4.5,2.06,6.68,4.36,4.89
Chile,42.3,stable,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2,4.93,4.5,3.7,7.4,0.47,2.77
Poland,40.9,stable,2.5,3.6,3.8,3.5,3.9,5,3.4,2.8,2.9,3.5,2.8,3.3,7.01,4.5,3.49,8.26,1.1,4.67
Czech Republic,39.9,stable,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2,7.8,4.5,2.53,7.95,1.67,5.57
Uruguay,38.4,stable,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5,3.26,4.5,1.37,8.46,2.22,4.95
Japan,36.1,stable,1.7,2.6,3.8,3.7,1.8,2,2.2,2.5,3,5.4,3.7,3.7,8,4.5,1.77,7.68,5.16,6.07
South Korea,35.4,stable,2.1,3.6,3.1,2,2.9,3.9,2.9,1.9,2.6,3,2,5.4,4.59,4.5,4.7,5.14,5.16,4.71
Singapore,34,stable,1.5,4,2.7,3,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2,8.24,4.5,2.66,5.14,5.16,1.82
United States,33.5,stable,2.2,3.9,4.2,3.2,4.8,1,2.3,2.4,3.2,3,2.3,1,9.75,4.5,1.17,7.01,0.3,5.28
United Kingdom,33.2,stable,2.7,3.5,5,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3,6.52,4.5,1.52,9.47,2.49,3.8
France,32.6,stable,2.3,1.9,5.9,4,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4,5.14,4.5,1.8,8,2.22,8.73
Portugal,32.6,stable,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3,4.65,4.5,1.25,9.19,1.6,5.02
Slovenia,32.3,stable,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3,6.34,4.5,2.45,8.6,0.41,3.3
Belgium,30.9,stable,2,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2,7.44,4.5,1.86,9.99,1.08,7.44
Germany,29.7,sustainable,2.2,2,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4,7.81,4.5,1.74,7.67,2.15,6.13
Austria,26.9,sustainable,1.1,2.7,4.3,1.9,4,1.6,1.5,1.5,2,2.3,2.4,1.6,6.66,4.5,1.87,7.37,0.64,6.57
Netherlands,26.9,sustainable,1.8,2.6,4.1,3.5,2.3,2.2,1,1.5,1,3,2.4,1.5,8.24,4.5,1.72,9.68,5.16,4.57
Canada,26,sustainable,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2,2,2.6,2.1,1,9.54,4.5,1.07,8.54,1.62,1.8
Australia,25.4,sustainable,1.7,1.6,3.6,2.1,3.3,1.1,1,1.8,2.2,3.3,2.7,1,9.73,4.5,1.32,5.14,5.16,5.85
Ireland,24.8,sustainable,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2,6.76,4.5,1.24,5.14,1.11,2.52
Iceland,24.7,sustainable,1,1.8,1,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2,5.68,4.5,1.01,9.16,0.6,3.13
Luxembourg,23.3,sustainable,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1,1.7,1.8,2,9.9,4.5,1.52,7.78,5.16,1.86
New Zealand,22.7,sustainable,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1,6.76,4.5,0.97,8.96,0.75,3.76
Denmark,21.9,sustainable,1.5,1.4,3.4,1.9,1.6,1.9,1,1.4,1.7,2.5,1.6,2,6.34,4.5,1.42,9.64,0.57,2.48
Norway,21.5,sustainable,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2,1.9,1.3,8.7,4.5,1.05,8.81,0.8,4.77
Switzerland,21.5,sustainable,1.4,1,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4,5.08,4.5,1.55,7.32,2.68,2.92
Sweden,19.7,sustainable,2.2,1.8,1,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1,4.87,4.5,0.93,9.62,1.85,6.6
Finland,18,sustainable,1,1.1,1.4,3.2,1,2.3,1,1.5,1.1,1.9,1.6,1,7.43,4.5,0.92,9.91,0.25,4.64