Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Somalia,113.9,alert,9.7,10,9.3,9.4,8.4,8.9,9.5,9.8,10,9.5,10,9.4
Congo Democratic Republic,111.9,alert,10,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10,10,9.7
Sudan,111,alert,9.8,10,10,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10,10
South Sudan,110.6,alert,9.6,9.8,10,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10,10
Chad,109,alert,9.4,9.5,8.8,8,8.9,8,9.7,9.9,9.8,9.5,9.7,7.9
Yemen,107,alert,9.8,9.5,9,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7
Afghanistan,106.7,alert,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10
Haiti,105.8,alert,7.9,9,7,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9
Central African Republic,105.3,alert,9.7,9.1,8.5,7.7,9.2,6.1,9,9.5,8.6,8.6,9.8,9.4
Zimbabwe,105.2,alert,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8
Iraq,103.9,alert,10,9.6,10,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5
Cote d'Ivoire,103.5,alert,9.1,9.4,9,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7
Pakistan,102.9,alert,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6
Guinea,101.3,alert,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7
Guinea Bissau,101.1,alert,9.5,9.7,5.7,8.7,8.1,8,9.7,8.8,7.6,8.4,7.8,9
Nigeria,100.7,alert,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3
Kenya,99.6,alert,8.1,9,9,7.6,8.3,7.8,8.3,8.1,7.1,9.1,8.7,8.5
Niger,99,alert,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5
Ethiopia,98.9,alert,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1
Burundi,97.6,alert,7.7,7.9,8.1,9.1,7.6,6.2,8.4,8.3,7.9,8.9,8.8,8.7
Syria,97.4,alert,9.8,9.2,9.3,6.4,7.2,6.2,9.6,7,9.5,5.6,9.5,8.1
Uganda,96.6,alert,8.2,8.6,8,7.4,7.8,6.7,8.1,8.3,7.9,9.1,8.4,8.2
Liberia,95.1,alert,7.1,8.3,6.5,8.3,8,7,6.6,9.1,6.4,8.8,9.2,9.8
North Korea,95.1,alert,8.4,7.7,6.6,9.3,8.3,4.4,9.8,9.5,9.7,8,5,8.4
Eritrea,95,alert,7.5,8.1,6.1,8.3,6.9,7.3,8.7,8.4,9.1,8.7,7.4,8.6
Myanmar,94.6,alert,7.8,8.6,9,7.3,8.4,5.4,9,8.1,8.3,7.6,8.5,6.6
Cameroon,93.5,alert,8,9.2,7.8,6.1,7.8,7.2,8.5,8.4,8.1,8.3,7.3,6.8
Sri Lanka,92.9,alert,8.5,9.3,9.5,5.9,7.8,7.3,8.2,5.5,9,6.8,8.4,6.8
Bangladesh,92.5,alert,7.7,8.9,8.6,7.3,7.8,7.5,8.3,8,7.3,8.1,7.3,5.8
Nepal,91.8,alert,7.6,8.2,9,7.3,8.1,5.9,8.1,7.3,7.9,7.6,7.7,7.1
Mauritania,91.7,alert,7.8,8.2,7.2,8,6.5,5.7,7.7,8.4,7.4,8.5,8.3,7.9
Timor-Leste,91.5,alert,8.3,8.3,6.8,7.9,6.7,6.4,8,8.5,6,8.7,7.4,8.5
Sierra Leone,91.2,alert,5.4,7.9,5.9,8.6,8.5,8,7.3,9,6.1,9,8.1,7.4
Egypt,90.6,alert,7.3,8.7,8.5,8.2,7.1,5.4,8.9,5.6,9.6,7.2,6.5,7.7
Burkina Faso,90.2,alert,7.2,7.3,5.3,7.7,8.4,6.3,7.7,8.7,6.8,9.4,7.4,8
Congo Republic,90,alert,6.7,6.7,6,7,8.2,6.2,8.7,8.7,7.5,8.2,8,8.2
Iran,89.7,warning,8.6,9.4,8.8,6.5,6.7,6.1,8.9,5,9.4,5.5,7.3,7.5
Mali,89.3,warning,8.1,5,7.6,8.1,6.8,7.8,6,8.5,6.5,9.3,7.6,8
Rwanda,89.3,warning,5.5,8.2,8.2,6.7,7.7,6.9,6.5,7.6,7.7,8.4,7.9,8
Malawi,89.2,warning,5,7.6,5.7,8.4,8,8.1,7.5,8.2,6.8,8.9,6.5,8.4
Cambodia,88,warning,6.2,8,7,6.4,7.3,7.4,8.3,8.1,7.8,7.2,6.2,8
Togo,87.8,warning,7.4,7.5,4.8,7.4,7.6,6.8,8.3,8.3,7.8,8.2,7.1,6.5
Angola,87.1,warning,6.1,7.3,6.8,5.1,9.4,5.9,8.6,8.4,7.3,8.9,7.2,6.1
Uzbekistan,86.9,warning,7.9,8.7,7.5,7.2,7.6,6.3,9,5.4,9.2,6.7,6,5.4
Zambia,86.6,warning,5,5.7,6,8.3,8,7.4,8,7.6,6.7,9.3,7.4,7.2
Lebanon,86.3,warning,8.5,9.2,8.5,5.3,6.2,6,7.2,5.6,6.8,6.3,8.5,8.2
Equatorial Guinea,86.1,warning,7.5,8.2,6.6,4.5,9.1,6.6,9.6,7.6,9.4,8.3,3.3,5.5
Kyrgyz Republic,85.7,warning,7.4,8,8.4,7.6,7,6.4,8.4,5.9,7.6,6.2,5.6,7.3
Swaziland,85.6,warning,6,7,3.6,8.9,7.5,6.3,8.7,7.8,8.3,9,4.9,7.5
Djibouti,85.5,warning,6.6,7.5,6.2,6.9,7.3,5.2,7.8,7.4,7,8.3,7.2,8.1
Solomon Islands,85.2,warning,6.7,8,6.8,7.8,8.3,5.7,7.3,8,5.9,7.7,4.9,8.2
Tajikistan,85.2,warning,7.4,8.3,6.7,8,6.2,5.9,9.1,6.3,8.2,7.4,5.3,6.4
Papua New Guinea,84.9,warning,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,5,6.3
Libya,84.5,warning,8.9,8,7.4,5,6.7,4.2,8.4,7.3,9,5.5,5.4,8.8
Georgia,84.2,warning,7.9,9.4,8,6.4,6.3,5.2,8.6,5.4,6.4,5.2,7.5,7.9
Comoros,84,warning,7.5,7.5,5.3,8.2,6.4,7.2,7.4,7.9,6.6,7.4,4.5,8.1
Colombia,83.8,warning,6.8,7.7,7.5,3.8,8.1,7.3,7.3,6.1,7.3,6.5,8.3,7.1
Laos,83.7,warning,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,5.8,6.6
Mozambique,82.8,warning,6.5,5.6,4.9,8,8,7.2,7,8.5,6.4,9.2,4.6,6.8
Philippines,82.8,warning,8.7,8,7.9,5.6,6.5,6.2,7.6,6.4,6.7,7.1,6.5,5.5
Madagascar,82.7,warning,7,7.5,4.9,8.2,7.9,5.5,7.2,8.6,5.9,8.1,4.3,7.7
Bhutan,81.8,warning,5.6,7.5,7.3,6.3,7.5,6.8,6,6.9,7.3,6.4,6.9,7.3
Gambia,81.8,warning,5.5,6.8,3.7,7.8,6.8,7.1,7.6,7.5,8,7.7,6.4,6.9
Senegal,81.4,warning,6.2,6.6,6.3,7.2,6.8,6.8,5.9,7.8,6.2,8.3,7,6.3
Tanzania,81.1,warning,5.5,5.7,6,6.8,6.4,6.4,6.2,8.8,6.2,8.6,6.8,7.7
China,80.9,warning,6.5,7.2,8.3,3.6,8,5,8.1,6.8,9.4,8.1,6.1,3.8
Bolivia,80.8,warning,6.7,8,7.1,6.2,8.9,6.4,7.2,6.8,6.3,6.9,4,6.3
Fiji,80.8,warning,7,7.9,7.3,7.3,7.4,7,8.8,4.9,7.3,5.2,3.8,6.9
Israel and West Bank,80.8,warning,7.1,8.1,9.8,3.7,7.5,3.2,6.7,5.9,7.6,6.2,7.4,7.7
Guatemala,80.7,warning,7,6,7.3,6.1,8.1,7.1,6.9,6.9,6.6,7.3,6,5.4
Lesotho,79.4,warning,5.2,7,4.7,8.5,6.7,6.8,6,8.2,5.4,8.8,4.9,7.2
Nicaragua,79.2,warning,5.6,6.8,5.9,6.8,7.9,7.8,7.5,6.8,5.4,6.6,4.8,7.3
Algeria,78.7,warning,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7,5.2
Ecuador,78.6,warning,6.7,8.2,7.2,5.6,7.4,6.8,7.2,6.9,4.9,5.8,5.7,6.2
Honduras,78.3,warning,6.8,6.3,5.8,6.9,8.1,6.6,6.9,6.8,6.3,7,3.9,6.9
Azerbaijan,78.2,warning,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,7.9,6.9
Indonesia,78.2,warning,6.8,7,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,6,5.9
Benin,77.9,warning,5.8,6.1,3.6,7.1,7.2,6.2,6,8.6,5.1,8.3,6.5,7.3
India,77.5,warning,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,5.2,5.2
Russia,77.1,warning,8.5,8,8.2,3.5,7,5.1,8.1,5.1,8.6,5.7,5.3,4
Belarus,76.7,warning,6.3,8.3,6.8,6.2,5.7,3.9,9,5.2,8.3,5.7,3.6,7.6
Turkmenistan,76.7,warning,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,3.9,4.6
Bosnia and Herzegovina,76.5,warning,6.4,8.7,7.7,5.2,6.2,5.6,6.7,4.4,6.4,4.4,6.8,8
Moldova,76.5,warning,7.2,7.7,6,6.4,5.9,6.9,6.9,5.7,6,5.9,5,6.9
Tunisia,76.5,warning,7.2,7.8,7.8,6,6,5,7.9,5,8.4,4.9,4.2,6.3
Turkey,75.9,warning,7.9,7.3,9,5.3,6.8,3.9,5.9,5.5,5.5,5.7,7.4,5.6
Jordan,75.7,warning,5.8,6.8,7.1,6.5,6.5,4.2,6.5,4.3,7.4,6.7,7.8,6.2
Maldives,75.4,warning,5.8,8,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4
Venezuela,75.3,warning,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9
Thailand,75.1,warning,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6
Sao Tome and Principe,74.6,warning,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3
Serbia,74.4,warning,6.5,8,8,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7
Morocco,74.3,warning,6.3,6.6,6.5,5.3,6.9,7,6.7,5.9,6.6,5.8,5.9,4.9
Cape Verde,73.7,warning,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2
Dominican Republic,73.2,warning,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9
El Salvador,73.2,warning,6.4,4.3,5.7,6.5,7,6.9,5.9,6.5,6.1,7.4,5.5,5.1
Mexico,73.1,warning,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4,6.1
Vietnam,73.1,warning,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6
Gabon,72.9,warning,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7,6.8,6.8,5.6,5.4
Micronesia,72.9,warning,5.4,5.6,4.2,7.5,8,8.4,6.3,6.3,3.1,7.1,3.1,7.9
Cuba,72.8,warning,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7
Saudi Arabia,72.7,warning,7.2,8,7.4,3.6,6.4,3.1,7.8,4,8.9,5.5,5.2,5.6
Peru,72.3,warning,7,6.7,7,4.1,7.8,6.1,7.1,6.4,5,5.9,4.7,4.5
Paraguay,71.8,warning,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2
Armenia,71.3,warning,5.3,7,5.7,5.9,5.6,6,6.6,4.4,6.8,4.9,7,6.2
Suriname,71.2,warning,5.8,5.8,6.1,7.1,7,7.6,6.1,5.3,5.4,5.7,3,6.3
Guyana,70.8,warning,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6,4.4,5.8,3.8,5.9
Namibia,70.4,warning,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5
Kazakhstan,69.8,warning,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3
Ghana,69.1,warning,3.8,5,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6
Samoa,68.7,warning,5.5,5.1,4.8,5.9,6,8.8,6,4.8,4.5,6.8,2.5,8
Macedonia,68,warning,6,7,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6
South Africa,67.6,warning,5.1,5.6,5.7,5.9,8,4.3,5.3,6.3,4.2,7.8,6.5,2.9
Belize,67.2,warning,5.5,4.3,4.4,5.5,6.6,7.1,6,6,4.1,6.5,4.9,6.3
Cyprus,67,warning,5,7.9,7.3,5.8,7,4.8,5.5,3,3.3,4,4.4,9
Malaysia,66.1,warning,6,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4
Ukraine,65.9,warning,4.4,8,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2
Jamaica,65.6,warning,6.3,3.7,4,6.6,5.9,7.2,6.1,5.7,5,5.6,3.4,6.3
Albania,65.2,warning,5.5,6.3,4.8,5.3,4.8,6.6,7,4.8,6,4.7,3.1,6.3
Grenada,64.6,warning,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7
Botswana,64,warning,3.5,3.3,4.8,6.1,7.5,5,4.4,6,4.4,8.3,5.8,4.8
Seychelles,64,warning,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9
Brunei Darussalam,63.2,warning,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1
Bahrain,62.9,warning,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6
Trinidad and Tobago,62.6,warning,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3,4.2
Brazil,62.1,warning,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7,3.6,3.3
Kuwait,59.6,stable,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4
Antigua and Barbuda,58,stable,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4,4.4,4.6,3,5.8
Mongolia,57.8,stable,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5
Romania,57.4,stable,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6
Panama,55.8,stable,5.1,2.5,5,3.8,7.9,4.5,4.7,5,4.4,5.9,3.7,3.3
Bulgaria,55,stable,4.7,5.3,4.6,5,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5
Bahamas,54.7,stable,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3
Montenegro,54.4,stable,4.6,6.2,6.5,4.6,3.5,3,4.2,3.6,4.4,3.9,4.5,5.3
Croatia,54.1,stable,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5
Oman,52,stable,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5,2,2.4
Barbados,50.8,stable,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5
Greece,50.6,stable,3.9,3,4.8,6.4,4.3,4.4,5.4,3.9,3,4.3,2,5.1
Costa Rica,48.7,stable,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9
Latvia,47.9,stable,3.3,4.3,5.4,4,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8
Hungary,47.6,stable,2.3,4.8,4.1,6,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8
United Arab Emirates,47.3,stable,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5
Qatar,47.1,stable,2.5,5,4.9,2.9,4.8,3.1,5.9,2,5.6,4.3,2.1,4
Argentina,46.1,stable,3,2.7,5,4,6,3,4.4,3.9,4.1,4.1,2,3.8
Estonia,45.3,stable,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3,2.4,3.5,3.3,3.3
Slovak Republic,45.3,stable,2.3,3.7,5,5.2,4.6,4.5,4.3,3.5,3,3.2,2,3.9
Italy,44.6,stable,5,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2
Mauritius,44.5,stable,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6
Spain,44.4,stable,4.1,6,5.8,5.5,4.1,3,3.3,3.3,2.2,2.8,2.3,2
Lithuania,43,stable,2.5,3,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2
Malta,42.4,stable,3.7,2,4,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8
Chile,42.3,stable,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2
Poland,40.9,stable,2.5,3.6,3.8,3.5,3.9,5,3.4,2.8,2.9,3.5,2.8,3.3
Czech Republic,39.9,stable,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2
Uruguay,38.4,stable,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5
Japan,36.1,stable,1.7,2.6,3.8,3.7,1.8,2,2.2,2.5,3,5.4,3.7,3.7
South Korea,35.4,stable,2.1,3.6,3.1,2,2.9,3.9,2.9,1.9,2.6,3,2,5.4
Singapore,34,stable,1.5,4,2.7,3,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2
United States,33.5,stable,2.2,3.9,4.2,3.2,4.8,1,2.3,2.4,3.2,3,2.3,1
United Kingdom,33.2,stable,2.7,3.5,5,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3
France,32.6,stable,2.3,1.9,5.9,4,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4
Portugal,32.6,stable,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3
Slovenia,32.3,stable,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3
Belgium,30.9,stable,2,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2
Germany,29.7,sustainable,2.2,2,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4
Austria,26.9,sustainable,1.1,2.7,4.3,1.9,4,1.6,1.5,1.5,2,2.3,2.4,1.6
Netherlands,26.9,sustainable,1.8,2.6,4.1,3.5,2.3,2.2,1,1.5,1,3,2.4,1.5
Canada,26,sustainable,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2,2,2.6,2.1,1
Australia,25.4,sustainable,1.7,1.6,3.6,2.1,3.3,1.1,1,1.8,2.2,3.3,2.7,1
Ireland,24.8,sustainable,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2
Iceland,24.7,sustainable,1,1.8,1,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2
Luxembourg,23.3,sustainable,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1,1.7,1.8,2
New Zealand,22.7,sustainable,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1
Denmark,21.9,sustainable,1.5,1.4,3.4,1.9,1.6,1.9,1,1.4,1.7,2.5,1.6,2
Norway,21.5,sustainable,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2,1.9,1.3
Switzerland,21.5,sustainable,1.4,1,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4
Sweden,19.7,sustainable,2.2,1.8,1,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1
Finland,18,sustainable,1,1.1,1.4,3.2,1,2.3,1,1.5,1.1,1.9,1.6,1